haveit,pubDate,title,link,description
1,1353970560000,26 11 2012,http://arthurpetry.com/podcastgen/?name=2015-12-17_26_11_2012.mp3,Podcast Episode
1,1356825000000,29 12 2012,http://arthurpetry.com/podcastgen/?name=2015-12-10_29_12_2012.mp3,Podcast Episode
1,1363222560000,13 03 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_13_03_2013.mp3,Podcast Episode
0,1367548740000,02 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_02_05_2013.mp3,Podcast Episode
0,1368060960000,08 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_08_05_2013.mp3,Podcast Episode
0,1368844680000,17 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_17_05_2013.mp3,Podcast Episode
0,1369364700000,23 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_23_05_2013.mp3,Podcast Episode
0,1369451100000,24 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_24_05_2013.mp3,Podcast Episode
0,1369518960000,25 05 2013,http://arthurpetry.com/podcastgen/?name=2015-12-17_25_05_2013.mp3,Podcast Episode
0,1370054160000,31 05 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_31_05_2013.mp3,Podcast Episode
1,1370652960000,07 06 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_07_06_2013.mp3,Podcast Episode
1,1371265500000,14 06 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_14_06_2013.mp3,Podcast Episode
1,1371862560000,21 06 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_21_06_2013.mp3,Podcast Episode
0,1372035360000,23 06 2013 sábado de madrugada,http://arthurpetry.com/podcastgen/?name=2016-01-06_23_06_2013_sabado_de_madrugada.mp3,Podcast Episode
1,1372475100000,28 06 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_28_06_2013.mp3,"Petry fala sobre adotar cachorros, língua portuguesa e opiniões engraçadas."
1,1373079900000,05 07 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_05_07_2013.mp3,Podcast Episode
0,1373166300000,06 07 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_06_07_2013.mp3,Podcast Episode
1,1373684700000,12 07 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_12_07_2013.mp3,Podcast Episode
